strategy,symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,data_points
MA,005257,14.596011695906427,2.5419556372089698,0.0,100.0,1,81
BOLLINGER,005257,7.055915137614682,2.54195563720897,0.0,100.0,1,81
BOLLINGER,286940,5.901003756690165,2.5306250430815744,0.02571289274105802,100.0,2,81
RSI,007070,5.816655906089512,2.5419556372089698,0.0,100.0,1,81
BOLLINGER,003090,4.80539181818181,2.3247050023358877,0.4233121667460967,50.0,2,81
BOLLINGER,006800,4.664994029850746,2.54195563720897,0.0,100.0,1,81
RSI,282330,4.462350050150452,2.54195563720897,0.0,100.0,1,81
BOLLINGER,006400,4.108647930018604,3.8726695871393346,0.022452076120299206,100.0,4,81
RSI,012320,3.750367158671585,2.54195563720897,0.0,100.0,1,81
RSI,079160,3.601973913043481,2.54195563720897,0.0,100.0,1,81
BOLLINGER,001070,3.4897536139332455,3.1264955566944868,0.022387331797825233,100.0,3,81
MACD,000075,3.413703910614527,2.5419556372089698,0.0,100.0,1,81
BOLLINGER,090460,3.3775870669513943,5.08183496270069,0.022745624970285053,100.0,5,81
BOLLINGER,012510,3.353760580762243,3.158074805794539,0.0,100.0,2,81
BOLLINGER,011230,3.349279011124838,3.158924673861417,0.0,100.0,2,81
MACD,032350,3.3157025779275457,3.165357209825358,0.0,100.0,2,81
BOLLINGER,000070,3.301377343358379,3.612758210713779,0.4567648670851834,75.0,4,81
RSI,011170,3.2835,2.54195563720897,0.0,100.0,1,81
BOLLINGER,339770,3.113284949575283,3.970636449796192,0.02262909335173035,100.0,4,81
BOLLINGER,068290,3.1118862137609162,2.9705784408788776,0.4579270636188678,66.66666666666666,3,81
BOLLINGER,016380,3.0993085005334695,3.9460162816363784,0.022600208561116584,100.0,4,81
RSI,001210,3.061533333333337,2.5419556372089707,0.0,100.0,1,81
BOLLINGER,084690,3.0182138753026257,3.60223060033672,0.022683272343876112,100.0,2,81
MACD,000070,2.998114285714284,2.5419556372089698,0.0,100.0,1,81
RSI,051915,2.98715706806283,2.5419556372089698,0.0,100.0,1,81
BOLLINGER,064960,2.91047737074031,3.5236645771132933,0.0,100.0,2,81
MA,000590,2.9097526693227,1.9327349230205597,0.8584516877997593,33.33333333333333,3,81
MACD,034730,2.791180219914473,2.176397017655665,0.431571246210568,50.0,2,81
BOLLINGER,009190,2.761500346576015,2.174620734536742,0.43169535576628276,66.66666666666666,3,81
RSI,051905,2.6287447698744715,2.54195563720897,0.0,100.0,1,81
BOLLINGER,002170,2.628569017027144,3.3281462861568656,0.02256941210647709,66.66666666666666,3,81
BOLLINGER,241560,2.6189139473684246,2.15433788371219,0.4322925925824288,50.0,2,81
MACD,006120,2.5427982710778942,2.6999797727292494,0.4357987719057237,66.66666666666666,3,81
RSI,003650,2.5141200807265354,2.5419556372089707,0.0,100.0,1,81
BOLLINGER,005880,2.502327999599348,4.912837883344224,0.022925656811571667,57.14285714285714,7,81
MACD,000210,2.4959498305084766,3.495381664339033,0.8811425637734855,66.66666666666666,6,81
RSI,031210,2.4548914027149324,2.5419556372089707,0.0,100.0,1,81
RSI,000120,2.4511249999999998,2.5419556372089698,0.0,100.0,1,81
BOLLINGER,004410,2.442666620500095,3.272967100197584,0.21278057442141585,60.0,5,81
BOLLINGER,008060,2.3916533914032625,3.18786769690866,0.022553276837630837,100.0,4,81
BOLLINGER,353200,2.3788475159235762,3.3251580688628404,0.022838513439174285,66.66666666666666,3,81
BOLLINGER,014790,2.371157352752122,2.9489475143223403,0.4619213416624431,66.66666666666666,6,81
MACD,139130,2.3271545750452205,4.514806694976239,0.0,100.0,3,81
MACD,001940,2.282030207468872,3.4100453521867276,0.022653637167527836,100.0,2,81
BOLLINGER,302440,2.279963884572685,2.0773594367358825,0.46854000000000234,50.0,2,81
BOLLINGER,092220,2.23940670454544,3.4228718951682495,0.022663151526766078,100.0,2,81
BOLLINGER,005250,2.2283074624749366,4.3219135614705975,0.06843873669295253,60.0,5,81
BOLLINGER,465770,2.221437001555273,2.691488897042763,0.4371729598302016,75.0,4,81
BOLLINGER,012320,2.2011821903004662,2.447679811821896,0.46227797571764,50.0,4,81
BOLLINGER,004450,2.1889979892911855,2.007622738898841,0.6065400000000023,33.33333333333333,6,81
