strategy,symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,data_points
MACD,000815,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,000990,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,000320,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,000325,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,000400,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,000480,0.543875020393182,2.4322970493804665,0.02287335371653468,100.0,2,81
MACD,000590,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,001770,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,001940,2.282030207468872,3.4100453521867276,0.022653637167527836,100.0,2,81
MACD,002100,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,001360,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,001515,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,001520,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,001530,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,000050,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,000070,2.998114285714284,2.5419556372089698,0.0,100.0,1,81
MACD,000075,3.413703910614527,2.5419556372089698,0.0,100.0,1,81
MACD,000157,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,002150,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,002240,0.9603716207276797,2.461858745769183,0.022828086248082934,100.0,2,81
MACD,002450,1.4751916027088068,3.5257846272886977,0.022828086248082934,100.0,3,81
MACD,002460,0.8136239999999991,2.732413452419067,0.022828086248082934,100.0,2,81
MACD,001120,0.7530800000000046,2.4636878720137547,0.023,100.0,1,81
MACD,001260,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,001275,0.7530800000000046,2.4636878720137547,0.023,100.0,1,81
MACD,003080,0.9734400000000023,3.110037726366755,0.0,100.0,2,81
MACD,002990,1.4409611650485428,2.54195563720897,0.0,100.0,1,81
MACD,004000,1.3679119782974127,2.657609695910648,0.02298028879371371,100.0,3,81
MACD,004140,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,003550,0.7530799999999931,2.5419556372089707,0.0,100.0,1,81
MACD,003570,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,003650,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,004840,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,005250,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,005257,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,005300,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,005305,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,005680,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,005945,1.5926314993481152,3.5832993242503086,0.022808510805553003,100.0,2,81
MACD,006090,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,00680K,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,006125,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,006800,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,006805,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
MACD,007700,1.4372160095865838,3.63806040678348,0.0,100.0,2,81
MACD,00806K,0.5459111111111123,2.54195563720897,0.0,100.0,1,81
MACD,008260,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81
MACD,010950,0.8363809708737884,2.461858745769183,0.022828086248082934,100.0,2,81
MACD,011155,0.7292766666666721,2.4591041757405407,0.023625415057616655,100.0,2,81
MACD,011390,0.7530800000000046,2.54195563720897,0.0,100.0,1,81
