symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,composite_score,rank
011155,0,0,0,0,0,0.2,1
069730,0,0,0,0,0,0.2,2
001067,0,0,0,0,0,0.2,3
38380K,0,0,0,0,0,0.2,4
003080,0,0,0,0,0,0.2,5
001515,0,0,0,0,0,0.2,6
012205,0,0,0,0,0,0.2,7
014285,0,0,0,0,0,0.2,8
002995,0,0,0,0,0,0.2,9
004545,0,0,0,0,0,0.2,10
008355,0,0,0,0,0,0.2,11
003925,0,0,0,0,0,0.2,12
005725,0,0,0,0,0,0.2,13
090355,0,0,0,0,0,0.2,14
000325,0,0,0,0,0,0.2,15
005257,0,0,0,0,0,0.2,16
002880,0,0,0,0,0,0.2,17
004835,0,0,0,0,0,0.2,18
005965,0,0,0,0,0,0.2,19
001527,0,0,0,0,0,0.2,20
001525,0,0,0,0,0,0.2,21
014825,0,0,0,0,0,0.2,22
111380,0,0,0,0,0,0.2,23
00499K,0,0,0,0,0,0.2,24
001080,0,0,0,0,0,0.2,25
090370,0,0,0,0,0,0.2,26
107590,0,0,0,0,0,0.2,27
134380,0,0,0,0,0,0.2,28
001275,0,0,0,0,0,0.2,29
145995,0,0,0,0,0,0.2,30
000075,0,0,0,0,0,0.2,31
004415,0,0,0,0,0,0.2,32
014915,0,0,0,0,0,0.2,33
134790,0,0,0,0,0,0.2,34
019175,0,0,0,0,0,0.2,35
004080,0,0,0,0,0,0.2,36
005820,0,0,0,0,0,0.2,37
000227,0,0,0,0,0,0.2,38
003465,0,0,0,0,0,0.2,39
007575,0,0,0,0,0,0.2,40
002600,0,0,0,0,0,0.2,41
002787,0,0,0,0,0,0.2,42
002785,0,0,0,0,0,0.2,43
009310,0,0,0,0,0,0.2,44
007815,0,0,0,0,0,0.2,45
00781K,0,0,0,0,0,0.2,46
003075,0,0,0,0,0,0.2,47
005745,0,0,0,0,0,0.2,48
009415,0,0,0,0,0,0.2,49
36328K,0,0,0,0,0,0.2,50
000145,0,0,0,0,0,0.2,51
001755,0,0,0,0,0,0.2,52
45226K,0,0,0,0,0,0.2,53
000885,0,0,0,0,0,0.2,54
000545,0,0,0,0,0,0.2,55
443060,0,0,0,0,0,0.2,56
071970,0,0,0,0,0,0.2,57
010620,0,0,0,0,0,0.2,58
322000,0,0,0,0,0,0.2,59
042670,0,0,0,0,0,0.2,60
267260,0,0,0,0,0,0.2,61
329180,0,0,0,0,0,0.2,62
097230,0,0,0,0,0,0.2,63
014790,0,0,0,0,0,0.2,64
003580,0,0,0,0,0,0.2,65
095570,0,0,0,0,0,0.2,66
006840,0,0,0,0,0,0.2,67
027410,0,0,0,0,0,0.2,68
282330,0,0,0,0,0,0.2,69
138930,0,0,0,0,0,0.2,70
001460,0,0,0,0,0,0.2,71
001465,0,0,0,0,0,0.2,72
001040,0,0,0,0,0,0.2,73
079160,0,0,0,0,0,0.2,74
00104K,0,0,0,0,0,0.2,75
007070,0,0,0,0,0,0.2,76
078935,0,0,0,0,0,0.2,77
499790,0,0,0,0,0,0.2,78
012630,0,0,0,0,0,0.2,79
039570,0,0,0,0,0,0.2,80
089470,0,0,0,0,0,0.2,81
294870,0,0,0,0,0,0.2,82
009540,0,0,0,0,0,0.2,83
267250,0,0,0,0,0,0.2,84
267270,0,0,0,0,0,0.2,85
001060,0,0,0,0,0,0.2,86
