종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","2120","5","0.24","112485164800"
"054620","APS","KOSDAQ","금융","4995","40","0.81","99371633895"
"265520","AP시스템","KOSDAQ","기계·장비","17050","-90","-0.53","260548228050"
"211270","AP위성","KOSDAQ","전기·전자","12720","200","1.60","191846906880"
"109960","AP헬스케어","KOSDAQ","유통","324","2","0.62","71535723156"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3000","-30","-0.99","188300697000"
"083790","CG인바이츠","KOSDAQ","일반서비스","1799","29","1.64","138332633418"
"035760","CJ ENM","KOSDAQ","오락·문화","69900","300","0.43","1532847864600"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","9540","80","0.85","124644507480"
"051500","CJ프레시웨이","KOSDAQ","유통","29550","600","2.07","350805366300"
"058820","CMG제약","KOSDAQ","제약","1992","31","1.58","284968613736"
"023460","CNH","KOSDAQ","금융","27","-4","-12.90","1004400000"
"056730","CNT85","KOSDAQ","건설","806","2","0.25","59733615916"
"065770","CS","KOSDAQ","전기·전자","1105","-27","-2.39","21449298650"
"083660","CSA 코스믹","KOSDAQ","화학","2430","20","0.83","148830649830"
"477760","DB금융스팩12호","KOSDAQ","금융","2090","5","0.24","12205600000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"060900","DGP","KOSDAQ","전기·가스·수도","1264","-8","-0.63","33020772656"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2680","-30","-1.11","42408987320"
"025440","DH오토웨어","KOSDAQ","전기·전자","851","3","0.35","41512821624"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","149939488590"
"241520","DSC인베스트먼트","KOSDAQ","금융","7220","-70","-0.96","194940000000"
"180400","DXVX","KOSDAQ","일반서비스","2010","122","6.46","98931058320"
"418620","E8","KOSDAQ","IT 서비스","4715","45","0.96","60589999055"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","6000","0","0.00","51749832000"
"050120","ES큐브","KOSDAQ","유통","2715","-175","-6.06","36826493490"
"214270","FSN","KOSDAQ","IT 서비스","2830","-55","-1.91","120048042490"
"130500","GH신소재","KOSDAQ","섬유·의류","3025","85","2.89","43998782300"
"900290","GRT","KOSDAQ","금융","3055","-25","-0.81","246996750000"
"083450","GST","KOSDAQ","기계·장비","19130","-140","-0.73","352565900000"
"297890","HB솔루션","KOSDAQ","기계·장비","2305","-20","-0.86","168589806770"
"440290","HB인베스트먼트","KOSDAQ","금융","2240","35","1.59","60719702400"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1877","-9","-0.48","174027774332"
"195940","HK이노엔","KOSDAQ","제약","42500","-150","-0.35","1204020367500"
"028300","HLB","KOSDAQ","제약","49400","500","1.02","6492664971000"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1427","4","0.28","124156904153"
"067630","HLB생명과학","KOSDAQ","제약","4805","-10","-0.21","585811463690"
"024850","HLB이노베이션","KOSDAQ","전기·전자","1818","1","0.06","262344895614"
"187420","HLB제넥스","KOSDAQ","제약","3175","15","0.47","92506425350"
"047920","HLB제약","KOSDAQ","일반서비스","17470","130","0.75","572864989320"
