종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4450","150","3.49","201374777550"
"006840","AK홀딩스","KOSPI","기타금융","12650","150","1.20","167581646650"
"027410","BGF","KOSPI","기타금융","4400","140","3.29","421153880400"
"282330","BGF리테일","KOSPI","유통","122700","-1000","-0.81","2120735266200"
"138930","BNK금융지주","KOSPI","기타금융","14440","40","0.28","4597458014360"
"001460","BYC","KOSPI","섬유·의류","42000","1050","2.56","262338300000"
"001465","BYC우","KOSPI","섬유·의류","24750","1200","5.10","53307787500"
"001040","CJ","KOSPI","기타금융","161300","4600","2.94","4706249777400"
"079160","CJ CGV","KOSPI","오락·문화","5460","60","1.11","904069540920"
"00104K","CJ4우(전환)","KOSPI","기타금융","131800","2300","1.78","557054281600"
"000120","CJ대한통운","KOSPI","운송·창고","93600","3900","4.35","2135235398400"
"011150","CJ씨푸드","KOSPI","음식료·담배","3035","10","0.33","109049896055"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","17930","160","0.90","3586000000"
"001045","CJ우","KOSPI","기타금융","87600","3100","3.67","197995534800"
"097950","CJ제일제당","KOSPI","음식료·담배","254000","-4500","-1.74","3823763244000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","149200","-400","-0.27","198053003600"
"000480","CR홀딩스","KOSPI","비금속","5570","40","0.72","261180029300"
"000590","CS홀딩스","KOSPI","기타금융","93300","3000","3.32","107713170600"
"012030","DB","KOSPI","IT 서비스","1497","53","3.67","301157377701"
"005830","DB손해보험","KOSPI","보험","133400","4900","3.81","9444720000000"
"016610","DB증권","KOSPI","증권","9180","470","5.40","389657851020"
"000990","DB하이텍","KOSPI","전기·전자","46100","-300","-0.65","2046774906800"
"000300","DH오토넥스","KOSPI","운송장비·부품","1984","0","0.00","162944308992"
"001530","DI동일","KOSPI","유통","42050","400","0.96","829039592350"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","53000","300","0.57","1110661852000"
"000215","DL우","KOSPI","화학","27000","600","2.27","45525105000"
"375500","DL이앤씨","KOSPI","건설","49550","200","0.41","1917269019650"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","34050","100","0.29","71911931550"
"37550K","DL이앤씨우","KOSPI","건설","22500","0","0.00","47562412500"
"007340","DN오토모티브","KOSPI","전기·전자","25250","150","0.60","1477399341250"
"004840","DRB동일","KOSPI","화학","5540","140","2.59","110412200000"
"155660","DSR","KOSPI","금속","4105","10","0.24","65680000000"
"069730","DSR제강","KOSPI","금속","3785","40","1.07","54504000000"
"017860","DS단석","KOSPI","화학","27500","250","0.92","483565830000"
"092780","DYP","KOSPI","운송장비·부품","4455","-40","-0.89","58665489300"
"017940","E1","KOSPI","유통","98100","5800","6.28","672966000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4330","60","1.41","922675370000"
"383220","F&F","KOSPI","섬유·의류","81800","1100","1.36","3133518735000"
"007700","F&F홀딩스","KOSPI","기타금융","21050","600","2.93","823357425350"
"114090","GKL","KOSPI","오락·문화","17400","0","0.00","1076288658000"
"078930","GS","KOSPI","기타금융","53000","3100","6.21","4924515034000"
"006360","GS건설","KOSPI","건설","21400","450","2.15","1831443886000"
"001250","GS글로벌","KOSPI","유통","2745","20","0.73","226555182180"
"007070","GS리테일","KOSPI","유통","17380","220","1.28","1453096872700"
"078935","GS우","KOSPI","기타금융","46600","1600","3.56","83172891600"
"499790","GS피앤엘","KOSPI","기타금융","41450","500","1.22","821988359450"
"012630","HDC","KOSPI","기타금융","24550","1400","6.05","1466659250550"
"039570","HDC랩스","KOSPI","건설","9510","90","0.96","246856785510"
"089470","HDC현대EP","KOSPI","화학","4065","80","2.01","129673500000"
"294870","HDC현대산업개발","KOSPI","건설","23600","350","1.51","1555412988000"
"009540","HD한국조선해양","KOSPI","기타금융","327500","7000","2.18","23178195490000"
"267250","HD현대","KOSPI","기타금융","136200","1900","1.41","10758858177000"
"267270","HD현대건설기계","KOSPI","기계·장비","76700","1500","1.99","1354659216300"
